annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;numero_jokerplus;devise;
2010084;MERCREDI;20100714;20100913;48;30;5;26;11;1;5-11-26-30-48+1;0;0;4;82953,2;726;744,6;27925;8,3;359043;4,6;351688;2;1 742 665;eur;
2010083;LUNDI   ;20100712;20100911;47;11;15;24;38;6;11-15-24-38-47+6;0;0;1;236830,7;439;878,9;16858;9,9;235672;5;336977;2;7 360 260;eur;
2010082;SAMEDI  ;20100710;20100909;27;32;12;42;30;7;12-27-30-32-42+7;0;0;3;145899,1;652;1093,7;29579;10,4;418586;5,2;993587;2;2 170 386;eur;
2010081;MERCREDI;20100707;20100906;20;47;49;26;31;10;20-26-31-47-49+10;0;0;1;346780,2;427;1323,2;20238;12;308856;5,6;308286;2;1 351 137;eur;
2010080;LUNDI   ;20100705;20100904;39;33;43;22;31;10;22-31-33-39-43+10;0;0;0;0;253;2266,2;12113;12,7;178314;6,1;193809;2;2 914 168;eur;
2010079;SAMEDI  ;20100703;20100902;10;46;2;33;28;8;2-10-28-33-46+8;0;0;1;405897,3;642;1030,1;27205;10,5;390663;5,2;546885;2;6 388 823;eur;
2010078;MERCREDI;20100630;20100830;14;44;28;18;17;2;14-17-18-28-44+2;0;0;1;312079,8;457;1112,6;25691;8,5;315411;4,9;327082;2;7 279 215;eur;
2010077;LUNDI   ;20100628;20100828;41;49;42;19;12;8;12-19-41-42-49+8;0;0;0;0;241;2180,8;12308;11,4;193595;5,2;274193;2;6 036 754;eur;
2010076;SAMEDI  ;20100626;20100826;47;16;11;37;7;10;7-11-16-37-47+10;0;0;2;194942,9;694;915,3;31907;8,6;410909;4,7;346326;2;3 706 338;eur;
2010075;MERCREDI;20100623;20100823;16;27;41;1;35;1;1-16-27-35-41+1;1;6000000;2;161093;347;1512,7;17707;12,8;278905;5,8;334309;2;8 285 605;eur;
2010074;LUNDI   ;20100621;20100821;45;35;24;37;48;2;24-35-37-45-48+2;0;0;1;214547,3;287;1217,9;11569;13;170189;6,3;235848;2;2 851 062;eur;
2010073;SAMEDI  ;20100619;20100819;21;23;19;36;49;4;19-21-23-36-49+4;0;0;1;421663,9;611;1124,4;27517;10,8;410236;5,1;614870;2;5 927 896;eur;
2010072;MERCREDI;20100616;20100816;40;48;15;9;3;10;3-9-15-40-48+10;0;0;2;163702,2;486;1097,6;22213;10,3;326176;5;284276;2;1 218 288;eur;
2010071;LUNDI   ;20100614;20100814;15;48;23;49;45;2;15-23-45-48-49+2;0;0;1;212467,7;248;1395,8;13649;10,9;189289;5,6;234830;2;0 794 391;eur;
2010070;SAMEDI  ;20100612;20100812;30;43;48;24;15;7;15-24-30-43-48+7;2;7000000;4;130288,5;727;1167,9;30164;12,1;453962;5,7;1147121;2;3 005 861;eur;
2010069;MERCREDI;20100609;20100809;14;48;44;24;20;10;14-20-24-44-48+10;0;0;4;102531,6;624;1070,8;26896;10,7;374841;5,5;365954;2;3 881 146;eur;
2010068;LUNDI   ;20100607;20100807;29;48;42;28;26;1;26-28-29-42-48+1;0;0;1;260162,5;255;1662,2;14134;12,9;226888;5,7;270977;2;2 721 724;eur;
2010067;SAMEDI  ;20100605;20100805;37;43;31;45;22;5;22-31-37-43-45+5;0;0;3;164528,5;631;1274,4;28640;12,1;413353;6;834541;2;2 297 938;eur;
